9,Waltendorf,12124,4.48
8,St. Peter,16384,8.86
10,Ries,6053,10.16
14,Eggenberg,22062,7.79
2,St. Leonhard,15075,1.83
6,Jakomini,31908,4.06
13,Gösting,11270,10.83
17,Puntigam,10107,6.18
3,Geidorf,24301,5.50
1,Innere Stadt,3446,1.16
7,Liebenau,15768,7.99
11,Mariatrost,9692,13.99
12,Andritz,19592,18.47
4,Lend,31711,3.70
16,Straßgang,18779,11.75
15,Wetzelsdorf,16800,5.77
5,Gries,30352,5.05
