833,11
3377,17
2532,9
2202,8
2000,3
4731,3
2188,11
2687,10
761,6
4658,17
2526,5
2302,3
3814,4
1993,1
2504,1
1397,14
2386,3
924,2
1567,3
3243,8
3921,9
2032,7
1974,11
1472,16
3411,3
2011,5
1,1
1292,7
4667,17
2335,7
3658,10
3308,6
4624,16
1253,1
3255,8
3895,4
3326,11
2465,9
5009,4
2846,4
115,14
3321,1
1041,3
1547,17
2393,11
1452,5
1428,11
3007,17
3376,17
4921,15
2756,7
2340,7
125,11
1905,6
3455,2
4693,4
4573,4
2763,12
4696,9
3516,14
1008,7
661,6
3306,4
1615,11
3246,16
3329,6
2183,12
482,3
5012,7
3581,16
2128,7
4000,5
839,13
2868,12
2534,16
217,10
3923,11
1456,5
5004,6
4621,11
2036,15
4175,14
179,9
2592,3
2206,14
4572,3
3846,3
1617,4
1267,7
136,16
112,5
126,12
1547,16
2232,7
1163,13
4268,11
4075,16
191,12
1281,9
1164,3
847,4
1975,11
581,14
1071,13
2388,14
150,5
528,13
875,1
1007,2
3290,7
3849,12
1108,15
1268,6
141,15
942,5
4132,2
5012,5
1344,7
3316,11
3312,1
2198,2
312,1
4014,8
1549,8
3651,8
1020,1
3992,13
180,16
2517,4
4614,3
2758,6
3453,4
3997,15
1450,17
1483,10
1741,8
120,12
2266,11
3701,2
2600,9
4706,12
3357,5
1278,16
2345,4
486,7
4166,14
5006,5
1811,5
3992,14
3292,16
2316,16
3262,14
1569,14
3381,6
4091,2
270,7
3620,7
3798,2
3793,3
3757,16
4003,10
2309,4
2509,15
1484,16
1524,16
1666,14
1585,17
353,3
2203,12
1970,14
1032,8
4901,17
1842,12
3572,3
603,8
2012,1
3588,10
3710,9
2529,9
3824,4
843,1
1973,4
1042,11
1398,1
2228,1
4331,3
2428,7
4711,15
514,15
4267,11
4135,11
1588,5
166,3
3226,5
2191,1
1561,9
4666,8
2514,4
1305,8
3988,12
3629,1
4660,17
38,17
4226,16
961,7
943,4
2518,4
3993,5
2004,1
941,14
4963,12
3362,17
4542,3
1545,11
158,1
3915,16
1397,4
116,17
3844,8
1685,12
1539,16
